,Title,Year,Actors
10,Monty Python's Life of Brian,1979,"John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Terence Bayler, Carol Cleveland, Kenneth Colley, Neil Innes, Charles McKeown, John Young, Gwen Taylor, Sue Jones-Davies, Peter Brett, John Case, Chris Langham, Andrew MacLachlan, Bernard McKenna, Spike Milligan, Randy Feelgood, George Harrison, Charles Knode, Monty Python"
11,And Now for Something Completely Different,1971,"John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Carol Cleveland, Connie Booth, Lewis Alexander, Rodney Cardiff, Neville Chamberlain, Winston Churchill, The Fred Tomlinson Singers, Adolf Hitler, Lesley Judd, King George VI, Roy Lansford, Richard Nixon, Harry Phipps, Queen Elizabeth the Queen Mother, Fred Wood"
12,The Meaning of Life,1983,"John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Carol Cleveland, Simon Jones, Patricia Quinn, Judy Loe, Andrew MacLachlan, Mark Holmes, Valerie Whittington, Jennie Franks, Imogen Bickford-Smith, Angela Mann, Peter Lovstrom, George Silver, Chris Grant, Sydney Arnold, Guy Bertrand, Andrew Bicknell, Ross Davidson, Myrtle Devenish, Tim Douglas, Eric Francis, Matt Frewer, Billy John, Russell Kilmister, Peter Mantle, Len Marten, Peter Merrill, Cameron Miller, Gareth Milne, Larry Noble, Paddy Ryan, Leslie Sarony, John Scott Martin, Eric Stovell, Wally Thomas, Jack Armstrong, Robert Carrick, Douglas Cooper, George Daly, Chick Fowles, Terry Grant, Robin Hewlett, Tommy Isley, Juba Kennerley, Anthony Lang, John Murphy, Terry Rendell, Ronald Shilling, Albert Welch, Luke Baxter, Stephen Beasley, Paul Bourke, Bonnie Bryg, Charlotte Corbett, Geoff Davids, Emma-Kate Davies, Sandra Easby, Jane Eve, Donna Fielding, Roy Hamlyn Gayle, Dawn Gerrard, Natascha Gilbrooke, Donnette Goddard, Heavon Grant, Alison Jane Hierlihy, Laura James, Kim Elizabeth Leeson, Maddie Loftin, Michelle Mackie, Paul Madden, Helen Mason, Caroline Meacher, Lorraine Meacher, Sue Menhenick, Kerri Murphy, Tammy Needham, Garry Noakes, Trudy Pack, Floyd Anthony Pearce, Wanda Rokicki, Peter Salmon, Lizie Saunderson, Steve St. Klonis, Voyd, Timothy Ward, Michelle Welch, Gess Whitfield, Lorraine Whitmarsh, Dominique Wood, Lynne Hazelden, Jane Leeves, Keith Macey, Gerald Paris, Monty Python, John Simpkin, Guy Standeven, Carole Anne Stevenson, Reg Thomason, Cy Town, Fred Wood"
13,The Magic Christian,1969,"Peter Sellers, Ringo Starr, Isabel Jeans, Caroline Blakiston, Wilfrid Hyde-White, Richard Attenborough, Leonard Frey, Laurence Harvey, Christopher Lee, Spike Milligan, Roman Polanski, Raquel Welch, Tom Boyle, Victor Maddern, Terence Alexander, Peter Bayliss, Joan Benham, Patrick Cargill, John Cleese, Clive Dunn, Fred Emney, Kenneth Fortescue, Patrick Holt, David Hutcheson, Hattie Jacques, Jeremy Lloyd, David Lodge, Ferdy Mayne, Dennis Price, Robert Raglan, Graham Stark, Miriam Karlin, Lewis Alexander, Andrew Andreas, Jack Armstrong, Jack Arrow, Michael Aspel, Zelda Barnett, Michael Barratt, Sean Barry-Weske, Harold Berens, Yul Brynner, Fay Bura, Rodney Cardiff, Harry Carpenter, Pauline Chamberlain, Kimberley Chung, Jimmy Clitheroe, George Cooper, Maxwell Craig, Roland Culver, George Curtis, W. Barrington Dalby, Freddie Earlle, Marusa Elias, Mabel Etherington, Peter Evans, Otto Friese, Maria Frost, Gail Gilmore, Arthur Goodman, Peter Graves, Muriel Greenslade, Ron Gregory, Victor Harrington, Renee Heimer, Ned Hood, Lew Hooper, Billy John, Gerry Judge, Juba Kennerley, Roy Lansford, James Laurenson, John Le Mesurier, Rick Lester, Kirsten Lindholm, Mary Maxfield, Rosalind Mendleson, Guy Middleton, John More, Lola Morice, Peter Myers, Joe Phelps, Paul Phillips, Dinny Powell, Nosher Powell, Mike Reynell, Bess Rogers, Peter Roy, Roy Scammell, Bunny Seaman, Birthe Sector, Ian Selby, Edward Sinclair, John Smart, Esme Smythe, John Snagge, George Spence, Guy Standeven, Emile Stemmler, Philip Stewart, Carmel Stratton, John Tatham, Leon Thau, Frank Thornton, John Timberlake, Graham Tonbridge, Cy Town, Michael Trubshawe, Edward Underdown, Pearl Walters, Lincoln Webb, Rita Webb, Eric Wetherell, Alan Whicker, John Wilder, Polly Williams"
14,Monty Python's Flying Circus: Live at Aspen,1998,"Robert Klein, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Eddie Izzard, Carol Cleveland, Cathleen Summers, Matt Stone, Peter Crabbe, Ted Danson, Woody Harrelson, Rhea Perlman, John Ratzenberger, George Wendt"
15,Freedomfest: Nelson Mandela's 70th Birthday Celebratation,1988,"Bryan Adams, Joan Armatrading, Nick Ashford, Aswad, Richard Attenborough, H.B. Barnum, Jennifer Beals, Harry Belafonte, Corbin Bernsen, Jackson Browne, Jonathan Butler, Paul Carrack, Tracy Chapman, Chubby Checker, Eric Clapton, Clarence Clemons, Joe Cocker, Natalie Cole, Phil Collins, Billy Connolly, Jerry Dammers, Harry Enfield, The Fat Boys, Fish, Roberta Flack, Stephen Fry, Peter Gabriel, Richard Gere, Barry Gibb, Maurice Gibb, Robin Gibb, Whoopi Goldberg, Al Green, Jonas Gwangwa, Tony Hadley, Daryl Hannah, Richard Harris, Lenny Henry, Gregory Hines, Cissy Houston, Whitney Houston, Chrissie Hynde, Freddie Jackson, Cheryl 'Salt' James, Mick Karn, Salif Keita, Jim Kerr, Mark Knopfler, Hugh Laurie, Ray Lema, Annie Lennox, Rob Lowe, Ali MacGraw, The Mahotella Queens, Miriam Makeba, Johnny Marr, Hugh Masekela, Meat Loaf, George Michael, Youssou N'Dour, Jessye Norman, Steve Norman, Michael Palin, Marti Pellow, Pepa, Maxi Priest, The Rolling Stones, David Sanborn, Valerie Simpson, Sly & Robbie, Curt Smith, Spinderella, Bruce Springsteen, David A. Stewart, Sting, Philip Michael Thomas, Robert Townsend, UB40, Midge Ure, Steven Van Zandt, Denzel Washington, Stevie Wonder, Paul Young, Emily Lloyd"
16,Monty Python and the Holy Grail,1975,"John Cleese, Eric Idle, Terry Gilliam, Terry Jones, Michael Palin, Connie Booth, Carol Cleveland, Neil Innes, Bee Duffell, John Young, Rita Davies, Avril Stewart, Sally Kinghorn, Mark Zycon, Elspeth Cameron, Mitsuko Forstater, Sandy Johnson, Sandy Rose, Romilly Squire, Joni Flynn, Alison Walker, Loraine Ward, Anna Lanski, Sally Coombe, Vivienne MacDonald, Yvonne Dick, Daphne Darling, Fiona Gordon, Gloria Graham, Judy Lamb, Tracy Sneddon, Sylvia Taylor, Joyce Pollner, Mary Allen, Iain Banks, Julian Doyle, Margarita Doyle, Charles Knode, Zack Matalon, Scott Mike, William Palin, Monty Python, Tom Raeburn, Brian Ross, Roy Forge Smith, John Thornton, Maggie Weston"
17,Paul Merton's Comic Heroes,2020,"Paul Merton, Jo Brand, Jasper Carrott, Ross Noble, Charles Chaplin, Oliver Hardy, Stan Laurel, Gracie Fields, George Formby, Max Miller, Eric Morecambe, Ernie Wise, Norman Wisdom, Peter Cook, Dudley Moore, John Cleese, Michael Palin, Joyce Grenfell, Billy Connolly, Bruce Forsyth, Larry Grayson, Victoria Wood, Mick Miller, Lenny Henry, Alexei Sayle"
18,Montreux 1971,1971,"John Cleese, Eric Idle, Terry Jones, Michael Palin, Terry Gilliam, Carol Cleveland, David Ballantyne, Helena Clayton, Daphne Davey, John Hughman, Stanley Mason"
19,Parrot Sketch Not Included: Twenty Years of Monty Python,1989,"Steve Martin, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Carol Cleveland, Connie Booth, Basil Tang, Marjorie Wilde, The Fred Tomlinson Singers"
20,An Accidental Studio,2019,"George Harrison, Ray Cooper, Denis O'Brien, George Ayoub, Steve Abbott, Michael Palin, Terry Gilliam, John Cleese, Terry Jones, Eric Idle, Ralph Brown, Michael Caine, Dick Clement, Julian Doyle, Mike Edmonds, Richard E. Grant, Bob Hoskins, Terry Ilott, Neil Jordan, Barrie Keeffe, Ian La Frenais, David Leland, Richard Loncraine, Joanna Lumley, Jonathan Lynn, John Mackenzie, A Martinez, Helen Mirren, Bruce Robinson, Cathy Tyson, Brenda Vaccaro, Ernest Vincze, Jonathan Wacks, Stephen Woolley, Chris Grant, Alan Bennett, Jim Broadbent, Pierce Brosnan, Jim Carter, Eric Clapton, Robbie Coltrane, Sean Connery, Billy Connolly, Jeff Daniels, Bernard Delfont, Denis the Cat, Shelley Duvall, Denholm Elliott, Gary Farmer, Jim Goddard, Richard Griffiths, Ian Holm, John Kohn, Jon Lord, Madonna, Paul McGann, Sean Penn, Valerie Perrine, Pete Postlethwaite, Randy Quaid, Maggie Smith, Ringo Starr, Michael Tucker, Craig Warnock, Frank Whaley, Richard Wilson"
21,The Statue,1971,"David Niven, Virna Lisi, Robert Vaughn, Ann Bell, John Cleese, Tim Brooke-Taylor, Hugh Burden, Erik Chitty, Derek Francis, Susan Travers, Desmond Walter-Ellis, David Allister, Maureen Lane, David Mills, Zoe Sallis, Mircha Carven, Christoper Cruize, Aldo De Carellis, Ann Ferguson, Pino Ferrara, John Frederick, Tony Gardner, Marco Gobbi, Hazel Hoskins, Marne Maitland, Bettine Milne, Gianni Musy, Troy Patterson, Bill Vanders, Granville Van Dusen, Veronica Gardiner, Roberto Lande, Katarina Lidfelt, Marco Tulli, Fortunato Arena, Angelo Boscariol, Maria Comberti, Edward Danko, Bruno Erba, Julie Fair, Lorenzo Fineschi, Kiko Gonçalves, Mario Guizzardi, Ron Hepher, Julian Jenkins, Robert Pomeroy, Jack Repp, Luigi Scavran, Sergio Silverio, Eva St. Laurent, John Stacy, John Wregg"
22,Yellowbeard,1983,"Peter Boyle, Cheech Marin, Tommy Chong, Peter Cook, Marty Feldman, Martin Hewitt, Michael Hordern, Eric Idle, Madeline Kahn, James Mason, John Cleese, Kenneth Mars, Spike Milligan, Stacey Nelkin, Nigel Planer, Susannah York, Beryl Reid, Ferdy Mayne, John H. Francis, Peter Bull, Bernard Fox, Ronald Lacey, Greta Blackburn, Nigel Stock, Kenneth Danziger, Monte Landis, Richard Wren, Gillian Eaton, Bernard McKenna, John Dair, Carlos Romano, Álvaro Carcaño, Leopoldo Francés, Ava Harela, Garry O'Neill, George Lane Cooper, David Bowie, Carlos East, Ronald Forfar, Michael Mileham"
