,DOI,abbrev,auths,titl,yr
46,CR8, (1989),F. Seguna-Porta,"{'issue': '4', 'key': 'CR8', 'doi-asserted-by': 'crossref', 'first-page': '438', 'DOI': '10.1007/BF00140137', 'volume': '5', 'author': 'F. Seguna-Porta', 'year': '1989', 'unstructured': 'Seguna-PortaF., Font-CreusB., Espejo-ArenasE. and Bello-CuetoF. (1989): New trends in Mediterranean Spotted Fever - Eur. J. Epidemiol. 5 (4): 438?443.', 'journal-title': 'Eur. J. Epidemiol.'}",1989
47,10.1111/j.1749-6632.1992.tb26072.x,GARNERIN PH et al (1992),"GARNERIN PH., SAIDI Y., VALLERON A.‐J.",The French Communicable Diseases Computer Network: A Seven‐Year Experiment,1992
48,b1_376,Valleron A- (1984),Valleron A-J.,"{'key': 'b1_376', 'author': 'Valleron A-J.', 'year': '1984', 'volume-title': ""Projet pour le developpement de la recherche et de l'information sur les maladies transmissibles""}",1984
49,b2_377,Valleron A- (1986),Valleron A-J.,"{'key': 'b2_377', 'author': 'Valleron A-J.', 'volume': '76', 'first-page': '1289', 'year': '1986', 'journal-title': 'Am. J. Public Health', 'DOI': '10.2105/AJPH.76.11.1289', 'doi-asserted-by': 'crossref'}",1986
50,b3_378,Hubert (1991),Hubert B.,"{'key': 'b3_378', 'author': 'Hubert B.', 'volume': '36', 'first-page': '155', 'year': '1991', 'journal-title': 'B.E.H.'}",1991
51,b4_379,unknown83 (1900),unknown83,"{'key': 'b4_379', 'DOI': '10.1016/0010-4825(92)90015-F', 'doi-asserted-by': 'publisher'}",1900
52,b5_380,Mayne (1982),Mayne A.,"{'key': 'b5_380', 'author': 'Mayne A.', 'year': '1982', 'volume-title': 'The Videotex Revolution'}",1982
53,b6_381,Alagic (1986),Alagic S.,"{'key': 'b6_381', 'author': 'Alagic S.', 'year': '1986', 'volume-title': 'Relational Database Technology', 'DOI': '10.1007/978-1-4612-4922-1', 'doi-asserted-by': 'crossref'}",1986
54,b7_382,Meijer (1985),Meijer A.,"{'key': 'b7_382', 'author': 'Meijer A.', 'year': '1985', 'volume-title': 'Computer Network Architectures'}",1985
55,b8_383,Garnerin Ph. (1991),Garnerin Ph.,"{'key': 'b8_383', 'author': 'Garnerin Ph.', 'volume': '1', 'first-page': '59', 'year': '1991', 'journal-title': 'Mathematica J.'}",1991
56,b9_384,Costagliola (1991),Costagliola D.,"{'key': 'b9_384', 'author': 'Costagliola D.', 'volume': '81', 'first-page': '97', 'year': '1991', 'journal-title': 'Am. J. Public Health', 'DOI': '10.2105/AJPH.81.1.97', 'doi-asserted-by': 'crossref'}",1991
57,b10_385,Carrat (1992),Carrat F.,"{'key': 'b10_385', 'author': 'Carrat F.', 'year': '1992', 'journal-title': 'Am. J. Epidemiol.'}",1992
58,b11_386,Serfling (1963),Serfling R. E.,"{'key': 'b11_386', 'author': 'Serfling R. E.', 'volume': '78', 'first-page': '494', 'year': '1963', 'journal-title': 'Public Health Rep.', 'DOI': '10.2307/4591848', 'doi-asserted-by': 'crossref'}",1963
59,b12_387,Burgess (1980),Burgess T. M.,"{'key': 'b12_387', 'author': 'Burgess T. M.', 'volume': '31', 'first-page': '315', 'year': '1980', 'journal-title': '1. The semi-variogram and punctual kriging. J. Soil Sci.', 'DOI': '10.1111/j.1365-2389.1980.tb02084.x', 'doi-asserted-by': 'crossref'}",1980
60,b13_388,unknown812 (1900),unknown812,"{'key': 'b13_388', 'DOI': '10.1016/0140-6736(92)90181-2', 'doi-asserted-by': 'publisher'}",1900
61,b14_389,Flahault (1988),Flahault A.,"{'key': 'b14_389', 'author': 'Flahault A.', 'volume': '7', 'first-page': '1147', 'year': '1988', 'journal-title': 'Stat. Med.', 'DOI': '10.1002/sim.4780071107', 'doi-asserted-by': 'crossref'}",1988
62,b15_390,unknown814 (1900),unknown814,"{'key': 'b15_390', 'DOI': '10.1007/BF00146394', 'doi-asserted-by': 'publisher'}",1900
63,b16_391,Massari (1989),Massari V.,"{'key': 'b16_391', 'author': 'Massari V.', 'volume': '79', 'first-page': '655', 'year': '1989', 'journal-title': 'Am. J. Public Health', 'DOI': '10.2105/AJPH.79.5.655', 'doi-asserted-by': 'crossref'}",1989
64,b17_392,Menares (1989),Menares J.,"{'key': 'b17_392', 'author': 'Menares J.', 'volume': '38', 'first-page': '855', 'year': '1989', 'journal-title': 'MMWR'}",1989
65,b18_393,unknown817 (1900),unknown817,"{'key': 'b18_393', 'DOI': '10.1016/0168-8510(91)90004-H', 'doi-asserted-by': 'publisher'}",1900
66,b19_394,Mary (1992),Mary M.,"{'key': 'b19_394', 'author': 'Mary M.', 'volume': '21', 'first-page': '163', 'year': '1992', 'journal-title': 'Int. J. Epidemiol.', 'DOI': '10.1093/ije/21.1.163', 'doi-asserted-by': 'crossref'}",1992
67,noDOI9,Schnuch A & Lehmacher (1992),"Schnuch A., Lehmacher W.",Epidemiologic surveillance of contact allergies/description of an information network of skin hospitals ('IVDK') following the 'guidelines for evaluating surveillance systems' of the center of disease control (CDC). [EPIDEMIOLOGISCHE UBERWACHUNG DES KONTAKTEKZEMS. DARSTELLUNG DES PROJEKTES 'INFORMATIONSVERBUND DERMATOLOGISCHER KLINIKEN' (IVDK) IN ANLEHNUNG AND DIE 'GUIDELINES FOR EVALUATING SURVEILLANCE SYSTEMS' DES CENTER OF DISEASE CONTROL (CDC)],1992
68,10.4269/ajtmh.1992.46.248,Ruebush II & Godoy (1992),"Ruebush II T.K., Godoy H.A.",Community participation in malaria surveillance and treatment I. The Volunteer Collaborator Network of Guatemala,1992
69,noDOI11,Chunming (1992),Chunming C.,Disease surveillance in China.,1992
70,noDOI12,García-Zapata & Marsden (1993),"García-Zapata M.T., Marsden P.D.","Chagas' disease: control and surveillance through use of insecticides and community participation in Mambaí, Goiás, Brazil.",1993
71,10.1016/0272-6386(93)70072-7,McClellan (1993),McClellan W.,Hypertensive End-Stage Renal Disease in Blacks: The Role of End-Stage Renal Disease Surveillance,1993
72,10.1016/0272-6386(93)70072-7_bib1,unparseable (1900),unparseable,unparseable,1900
73,10.1016/0272-6386(93)70072-7_bib2,Levin (1991),Levin,Research on problems of the dialysis patient,1991
74,10.1016/0272-6386(93)70072-7_bib3,Thacker (1988),Thacker,Public health surveillance in the United States,1988
75,10.1016/0272-6386(93)70072-7_bib4,Kuller (1987),Kuller,Relationship between acute and chronic disease epidemiology,1987
76,10.1016/0272-6386(93)70072-7_bib5,McClellan (1988),McClellan,Racial differences in the incidence of hypertensive end stage renal disease (ESRD) are not entirely explained by differences in the prevalence of hypertension,1988
77,10.1016/0272-6386(93)70072-7_bib6,McClellan (1990),McClellan,The epidemiology of endstage renal disease in Georgia,1990
78,10.1016/0272-6386(93)70072-7_bib7,Rothman (1986),Rothman,"{'key': '10.1016/0272-6386(93)70072-7_bib7', 'author': 'Rothman', 'year': '1986', 'series-title': 'Modern Epidemiology'}",1986
79,10.1016/0272-6386(93)70072-7_bib8,Schlesselman (1982),Schlesselman,"{'key': '10.1016/0272-6386(93)70072-7_bib8', 'author': 'Schlesselman', 'year': '1982', 'series-title': 'Case-Control Studies: Design, Conduct, Analysis'}",1982
80,10.1016/0272-6386(93)70072-7_bib9,Breslow (1980),Breslow,"{'key': '10.1016/0272-6386(93)70072-7_bib9', 'author': 'Breslow', 'year': '1980', 'series-title': 'Statistical Methods in Cancer Research: The Analysis of Case-Control Studies'}",1980
81,10.1016/0272-6386(93)70072-7_bib10,McCord (1941),McCord,Comparative blood creatinine levels in negro and white subjects,1941
82,10.1016/0272-6386(93)70072-7_bib11,Easterling (1977),Easterling,Racial factors in the incidence and causation of end stage renal disease,1977
83,10.1016/0272-6386(93)70072-7_bib12,Rostand (1982),Rostand,Racial differences in the incidence of treatment for end stage renal disease,1982
84,10.1016/0272-6386(93)70072-7_bib13,Weller (1985),Weller,End stage renal disease in Michigan,1985
85,10.1016/0272-6386(93)70072-7_bib14,Ferguson (1987),Ferguson,"The epidemiology of end stage renal disease: The six year south-central Los Angeles experience, 1980-1985",1987
86,10.1016/0272-6386(93)70072-7_bib15,Klag (1990),Klag,Does racial variation in risk factors explain black-white differences in hypertensive end stage renal disease (HT-ESRD)?,1990
87,10.1016/0272-6386(93)70072-7_bib16,Grunfeld (1990),Grunfeld,Renal functional reserve and microalbuminuria in offspring of hypertensive parents,1990
88,10.1016/0272-6386(93)70072-7_bib17,Ferguson (1988),Ferguson,A familial risk of chronic renal failure among blacks on dialysis?,1988
89,10.1016/0272-6386(93)70072-7_bib18,Branca (1983),Branca,Risk factors for the progression of renal insufficiency in essential hypertension,1983
90,10.1016/0272-6386(93)70072-7_bib19,Tierney (1990),Tierney,Effect of hypertension and type II diabetes on renal function in an urban population,1990
91,10.1016/0272-6386(93)70072-7_bib20,Tierney (1989),Tierney,Renal disease in hypertensive adults: Effect of race and type II diabetes mellitus,1989
92,10.1016/0272-6386(93)70072-7_bib21,Shulman (1989),Shulman,Prognostic value of serum creatinine and effect of treatment of hypertension on renal function: Results from the hypertension detection and followup program,1989
93,10.1016/0272-6386(93)70072-7_bib22,Nuyts (1991),Nuyts,Does lead play a role in the development of chronic renal disease?,1991
94,10.1016/0272-6386(93)70072-7_bib23,Bautman (1981),Bautman,The role of lead in gout nephropathy,1981
95,10.1016/0272-6386(93)70072-7_bib24,Bautman (1983),Bautman,Contribution of lead to hypertension with renal impairment,1983
96,10.1016/0272-6386(93)70072-7_bib25,Wright (1984),Wright,Occult lead intoxication in patients with gout and kidney disease,1984
97,10.1016/0272-6386(93)70072-7_bib26,Pirkle (1985),Pirkle,The relationship between blood lead levels and blood pressure and its cardiovascular risk implications,1985
98,10.1016/0272-6386(93)70072-7_bib27,Barlow (1968),Barlow,Renal disease in primary gout,1968
99,10.1016/0272-6386(93)70072-7_bib28,Cannon (1966),Cannon,Hyperuricemia in primary and renal hypertension,1966
100,10.1016/0272-6386(93)70072-7_bib29,Messerli (1980),Messerli,Serum uric acid in essential hypertension: An indicator of renal vascular involvement,1980
101,10.1016/0272-6386(93)70072-7_bib30,Yu (1982),Yu,Impaired renal function in gout: Its association with hypertensive vascular disease and intrinsic renal disease,1982
102,10.1016/0272-6386(93)70072-7_bib31,Morduchowicz (1986),Morduchowicz,Proteinuria in benign nephrosclerosis,1986
103,10.1016/0272-6386(93)70072-7_bib32,Parving (1974),Parving,Increased urinary albumin excretion rate in benign essential hypertension,1974
104,10.1016/0272-6386(93)70072-7_bib33,Pedersen (1976),Pedersen,"Effect of antihypertensive treatment of urinary albumin excretion, glomerular filtration rate and renal plasma flow in patients with essential hypertension",1976
105,10.1016/0272-6386(93)70072-7_bib34,Heeg (1987),Heeg,Reduction of proteinuria by angiotensin converting enzyme inhibition,1987
106,10.1016/0272-6386(93)70072-7_bib35,Ruilope (1990),Ruilope,Does an adequate control of blood pressure protect the kidney in essential hypertension?,1990
107,10.1016/0272-6386(93)70072-7_bib36,Alderman (1983),Alderman,Increased excretion of urinary 1V acetyl-(beta)-glucosaminidase in essential hypertension and its decline with antihypertensive therapy,1983
108,10.1016/0272-6386(93)70072-7_bib37,Mitas (1978),Mitas,Urinary kallikrein activity in the hypertension of renal parenchymal disease,1978
109,10.1016/0272-6386(93)70072-7_bib38,Warren (1980),Warren,Does a renal vasodilator system mediate racial differences in essential hypertension?,1980
110,10.1016/0272-6386(93)70072-7_bib39,Hohn (1983),Hohn,Childhood familial and racial differences in physiologic and biochemical factors related to hypertension,1983
111,10.1016/0272-6386(93)70072-7_bib40,Levy (1977),Levy,Urinary kallikrein and plasma renin activity as determinants of renal blood flow: The influence of race and dietary sodium intake,1977
112,10.1016/0272-6386(93)70072-7_bib41,Zinner (1976),Zinner,"Familial aggregation of urinary kallikrein excretion concentration in childhood: Relation to blood pressure, race and urinary electrolytes",1976
113,10.1016/0272-6386(93)70072-7_bib42,Holland (1980),Holland,Urinary kallikrein excretion in essential and mineralocorticoid hypertension,1980
114,10.1016/0272-6386(93)70072-7_bib43,Spragg (1985),Spragg,Kallikrein excretion in renal transplant recipients and in uninephrectomized donors,1985
115,10.1016/0272-6386(93)70072-7_bib44,Ford (1984),Ford,Is hypertension worse in blacks? Comparison of creatinine levels at equal blood pressures: Effect of potassium,1984
116,10.1016/0272-6386(93)70072-7_bib45,Horwitz (1978),Horwitz,Effects of dietary potassium and race on urinary excretion of kallikrein and aldosterone in man,1978
117,10.1016/0272-6386(93)70072-7_bib46,Tobian (1988),Tobian,Potassium and sodium in hypertension,1988
118,10.1016/0272-6386(93)70072-7_bib47,Tobian (1984),Tobian,"Potassium protection against lesions of the tubules, arteries, and glomeruli and nephron loss in salt loaded hypertensive Dahl S rats",1984
119,10.1016/0272-6386(93)70072-7_bib48,Kobrin (1986),Kobrin,Renal involvement follows cardiac enlargement in essential hypertension,1986
120,10.1016/0272-6386(93)70072-7_bib49,Schmieder (1990),Schmieder,Glomerular hyperfiltration indicates early target organ damage in essential hypertension,1990
121,10.1016/0272-6386(93)70072-7_bib50,Cerasola (1989),Cerasola,Microalbuminuria as a predictor of cardiovascular damage in essential hypertension,1989
122,10.1016/0272-6386(93)70072-7_bib51,Brazy (1989),Brazy,Progression of renal insufficiency: Role of blood pressure,1989
123,10.1016/0272-6386(93)70072-7_bib52,Pettinger (1989),Pettinger,Long term improvement in renal function after short-term strict blood pressure control in hypertensive nephrosclerosis,1989
124,10.1016/0272-6386(93)70072-7_bib53,unparseable (1900),unparseable,unparseable,1900
125,10.1016/0272-6386(93)70072-7_bib54,Rostand (1989),Rostand,Renal insufficiency in treated essential hypertension,1989
126,10.1016/0272-6386(93)70072-7_bib55,Rothman (1976),Rothman,Causes,1976
127,10.1016/0272-6386(93)70072-7_bib56,Sandler (1989),Sandler,Analgesic use and chronic renal disease,1989
128,10.1016/0272-6386(93)70072-7_bib57,unknown1356 (1991),unknown1356,National High Blood Pressure Education Program Working Group Report on Hypertension and Chronic Renal Failure,1991
129,10.2307/2137301,Laumann et al (1993),"Laumann E.O., Gagnon J.H., Michaels S., Michael R.T., Schumm L.P.",Monitoring AIDS and other rare population events: a network approach.,1993
130,noDOI15,Bartelds (1993),Bartelds A.I.,Validation of sentinel data.,1993
131,noDOI16,Seketeli A et al (1993),"Seketeli A., Guillet P., Colussa B., Philippon B., Quillevere D., Samba E.M.",National entomological teams of the western extension area of the Onchocerciasis Control Programme (OCP) from 1986 to 1990 [EQUIPES NATIONALES ENTOMOLOGIQUES DE LA ZONE D'EXTENSION OUEST DU PROGRAMME DE LUTTE CONTRE L'ONCHOCERCOSE EN AFRIQUE DE L'OUEST (OCP) DE 1986 A 1990],1993
132,10.1136/jamia.1994.95236162,Friede A et al (1994),"Friede A., Rosen D.H., Reid J.A.",CDC WONDER: A cooperative processing architecture for public health,1994
133,noDOI18,[No author name available] (1994),[No author name available],Food protection activities of the Pan American Health Organization.,1994
134,10.3201/eid0103.950306,Mahon et al (1995),"Mahon B.E., Rohn D.D., Pack S.R., Tauxe R.V.",Electronic communication facilitates investigation of a highly dispersed foodborne outbreak: Salmonella on the superhighway.,1995
135,10.1093/ije/24.2.435,Chauvin P & Valleron (1995),"Chauvin P., Valleron A.-J.",Attitude of French general practitioners to the public health surveillance of communicable diseases,1995
136,10.1097/00124784-199500120-00010,Malloy et al (1995),"Malloy C.D., Gallo R.J., Leib H.B., Marr J.S.",Emerging pathogens—the white horse of the apocalypse?,1995
137,10.1016/0378-8733(95)00261-L,Johnsen et al (1995),"Johnsen E.C., Bernard H.R., Killworth P.D., Shelley G.A., McCarty C.",A social network approach to corroborating the number of AIDS/HIV + victims in the US,1995
138,10.1016/0378-8733(95)00261-L_BIB1,Berkelman (1989),Berkelman,Monitoring the US AIDS epidemic,1989
139,10.1016/0378-8733(95)00261-L_BIB2,Bernard (1990),Bernard,Comparing four different methods for measuring personal social networks,1990
140,10.1016/0378-8733(95)00261-L_BIB3_1,Bernard (1989),Bernard,Estimating the size of an average personal network and of an event subpopulation,1989
141,10.1016/0378-8733(95)00261-L_BIB3_2,Bernard (1991),Bernard,Estimating the size of an average personal network and of an event subpopulation: Some empirical results,1991
142,10.1016/0378-8733(95)00261-L_BIB4_1,Bureau of the Census (1983),Bureau of the Census,"{'key': '10.1016/0378-8733(95)00261-L_BIB4_1', 'author': 'Bureau of the Census', 'volume': 'Vol. 1', 'year': '1983'}",1983
143,10.1016/0378-8733(95)00261-L_BIB4_2,Bureau of the Census (1989),Bureau of the Census,"Projections of the population of the United States, by age, sex, and race: 1988 to 2080",1989
144,10.1016/0378-8733(95)00261-L_BIB4_3,Bureau of the Census (1993),Bureau of the Census,"{'key': '10.1016/0378-8733(95)00261-L_BIB4_3', 'author': 'Bureau of the Census', 'year': '1993', 'series-title': 'Statistical Abstract of the United States: 1993'}",1993
145,10.1016/0378-8733(95)00261-L_BIB5_1,Centers for Disease Control (1988),Centers for Disease Control,"{'key': '10.1016/0378-8733(95)00261-L_BIB5_1', 'author': 'Centers for Disease Control', 'year': '1988'}",1988
146,10.1016/0378-8733(95)00261-L_BIB5_2,Centers for Disease Control (1989),Centers for Disease Control,"{'key': '10.1016/0378-8733(95)00261-L_BIB5_2', 'author': 'Centers for Disease Control', 'year': '1989', 'series-title': 'HIV/AIDS Surveillance Report'}",1989
147,10.1016/0378-8733(95)00261-L_BIB5_3,Centers for Disease Control (1990),Centers for Disease Control,"{'key': '10.1016/0378-8733(95)00261-L_BIB5_3', 'author': 'Centers for Disease Control', 'year': '1990', 'series-title': 'HIV/AIDS Surveillance Report'}",1990
148,10.1016/0378-8733(95)00261-L_BIB5_4,Centers for Disease Control (1991),Centers for Disease Control,"{'key': '10.1016/0378-8733(95)00261-L_BIB5_4', 'author': 'Centers for Disease Control', 'year': '1991', 'series-title': 'HIV/AIDS Surveillance Report'}",1991
149,10.1016/0378-8733(95)00261-L_BIB5_5,Centers for Disease Control (1993),Centers for Disease Control,"{'key': '10.1016/0378-8733(95)00261-L_BIB5_5', 'author': 'Centers for Disease Control', 'year': '1993', 'series-title': 'HIV/AIDS Surveillance Report'}",1993
150,10.1016/0378-8733(95)00261-L_BIB6_1,Federal Bureau of Investigation (1986),Federal Bureau of Investigation,"{'key': '10.1016/0378-8733(95)00261-L_BIB6_1', 'author': 'Federal Bureau of Investigation', 'year': '1986'}",1986
151,10.1016/0378-8733(95)00261-L_BIB6_2,Federal Bureau of Investigation (1988),Federal Bureau of Investigation,"{'key': '10.1016/0378-8733(95)00261-L_BIB6_2', 'author': 'Federal Bureau of Investigation', 'year': '1988', 'series-title': 'Uniform Crime Reports for the United States'}",1988
152,10.1016/0378-8733(95)00261-L_BIB6_3,Federal Bureau of Investigation (1989),Federal Bureau of Investigation,"{'key': '10.1016/0378-8733(95)00261-L_BIB6_3', 'author': 'Federal Bureau of Investigation', 'year': '1989', 'series-title': 'Uniform Crime Reports for the United States'}",1989
153,10.1016/0378-8733(95)00261-L_BIB6_4,Federal Bureau of Investigation (1990),Federal Bureau of Investigation,"{'key': '10.1016/0378-8733(95)00261-L_BIB6_4', 'author': 'Federal Bureau of Investigation', 'year': '1990', 'series-title': 'Uniform Crime Reports for the United States'}",1990
